Circuit,Runs,Random walks per run,"k1 (min, max, samples)","k2 (min, max, samples)","theta1 (min, max, samples)","theta2 (min, max, samples)","(min, max) sampled value of |S_k1_x1|","(min, max) sampled value of |S_k2_x1|",Sampled energy difference in |S_k1_x1|,Sampled energy difference in |S_k2_x1|,Sampled cumulative energ difference,Probability hot run,Hot run temperature,Probability cold run,Cold run temperature,Hot run time,Hot run stopping temperature,Number of temperatures,Step scaling factor,Cold run time,Cold run stopping temperature,Prune time,Archive length after cold run,Archive length after prune
ToyModel,2,100,"[1e-07, 0.001, 5]","[1e-07, 0.001, 5]","[0.001, 10, 5]","[0.001, 10, 5]","[0.3333089765770164, 0.8021900284796915]","[4.1308769230156756e-09, 0.39936613088398654]",0.46888105190267504,0.3993661267531096,0.6159080645933611,0.9,5.845719914598866,0.01,0.13374273690630414,"[0.8405277729034424, 0.8460450172424316]","[0.1382487423764477, 0.1382487423764477]","[74, 74]","[0.01, 0.01]","[1.137782096862793, 1.1373860836029053]","[4.080088879964616e-06, 4.080088879964616e-06]","[4.0531158447265625e-06, 4.0531158447265625e-06]","[1, 1]","[1, 1]"
ToyModel,2,100,"[1e-07, 0.001, 5]","[1e-07, 0.001, 5]","[0.001, 10, 5]","[0.001, 10, 5]","[0.3333089765770164, 0.8021900284796915]","[4.1308769230156756e-09, 0.39936613088398654]",0.46888105190267504,0.3993661267531096,0.6159080645933611,0.9,5.845719914598866,0.01,0.13374273690630414,"[1.184662103652954, 1.3120200634002686]","[0.1382487423764477, 0.1382487423764477]","[74, 74]","[0.01, 0.01]","[1.5740609169006348, 1.5818850994110107]","[4.080088879964616e-06, 4.080088879964616e-06]","[4.76837158203125e-06, 3.814697265625e-06]","[1, 1]","[1, 1]"
ToyModel,2,100,"[1e-07, 0.001, 5]","[1e-07, 0.001, 5]","[0.001, 10, 5]","[0.001, 10, 5]","[0.3333089765770164, 0.8021900284796915]","[4.1308769230156756e-09, 0.39936613088398654]",0.46888105190267504,0.3993661267531096,0.6159080645933611,0.9,5.845719914598866,0.01,0.13374273690630414,"[1.1506719589233398, 1.318282127380371]","[0.1382487423764477, 0.1382487423764477]","[74, 74]","[0.01, 0.01]","[1.552628993988037, 1.5874743461608887]","[4.080088879964616e-06, 4.080088879964616e-06]","[7.867813110351562e-06, 3.814697265625e-06]","[1, 1]","[1, 1]"
ToyModel,2,100,"[1e-07, 0.001, 5]","[1e-07, 0.001, 5]","[0.001, 10, 5]","[0.001, 10, 5]","[0.3333089765770164, 0.8021900284796915]","[4.1308769230156756e-09, 0.39936613088398654]",0.46888105190267504,0.3993661267531096,0.6159080645933611,0.9,5.845719914598866,0.01,0.13374273690630414,"[0.8423659801483154, 0.861091136932373]","[0.1382487423764477, 0.1382487423764477]","[74, 74]","[0.01, 0.01]","[1.1431419849395752, 1.1618201732635498]","[4.080088879964616e-06, 4.080088879964616e-06]","[6.9141387939453125e-06, 3.814697265625e-06]","[1, 1]","[1, 1]"
ToyModel,2,100,"[1e-07, 0.001, 5]","[1e-07, 0.001, 5]","[0.001, 10, 5]","[0.001, 10, 5]","[0.3333089765770164, 0.8021900284796915]","[4.1308769230156756e-09, 0.39936613088398654]",0.46888105190267504,0.3993661267531096,0.6159080645933611,0.9,5.845719914598866,0.01,0.13374273690630414,"[0.9415409564971924, 0.9626100063323975]","[0.1382487423764477, 0.1382487423764477]","[74, 74]","[0.01, 0.01]","[1.2796778678894043, 1.3013420104980469]","[4.080088879964616e-06, 4.080088879964616e-06]","[1.1205673217773438e-05, 5.9604644775390625e-06]","[1, 1]","[1, 1]"
ToyModel,2,100,"[1e-07, 0.001, 10]","[1e-07, 0.001, 10]","[0.001, 10, 10]","[0.001, 10, 10]","[0.3333089765770164, 0.9900377152827822]","[4.1308769230156756e-09, 1.0007425061776296]",0.6567287387057658,1.0007425020467526,1.1969871309437126,0.9,11.360870089428026,0.01,0.2599224529390297,"[0.9494149684906006, 0.9644370079040527]","[0.2686796536801579, 0.2686796536801579]","[74, 74]","[0.01, 0.01]","[1.2755188941955566, 1.2966389656066895]","[7.92945272708617e-06, 7.92945272708617e-06]","[8.344650268554688e-06, 5.7220458984375e-06]","[1, 1]","[1, 1]"
ToyModel,2,100,"[1e-07, 0.001, 10]","[1e-07, 0.001, 10]","[0.001, 10, 10]","[0.001, 10, 10]","[0.3333089765770164, 0.9900377152827822]","[4.1308769230156756e-09, 1.0007425061776296]",0.6567287387057658,1.0007425020467526,1.1969871309437126,0.9,11.360870089428026,0.01,0.2599224529390297,"[1.267530918121338, 1.4422328472137451]","[0.2686796536801579, 0.2686796536801579]","[74, 74]","[0.01, 0.01]","[1.7300500869750977, 1.7516748905181885]","[7.92945272708617e-06, 7.92945272708617e-06]","[1.6927719116210938e-05, 5.245208740234375e-06]","[1, 1]","[1, 1]"
ToyModel,2,100,"[1e-07, 0.001, 10]","[1e-07, 0.001, 10]","[0.001, 10, 10]","[0.001, 10, 10]","[0.3333089765770164, 0.9900377152827822]","[4.1308769230156756e-09, 1.0007425061776296]",0.6567287387057658,1.0007425020467526,1.1969871309437126,0.9,11.360870089428026,0.01,0.2599224529390297,"[1.2683992385864258, 1.4731230735778809]","[0.2686796536801579, 0.2686796536801579]","[74, 74]","[0.01, 0.01]","[1.7377119064331055, 1.7711098194122314]","[7.92945272708617e-06, 7.92945272708617e-06]","[9.059906005859375e-06, 3.0994415283203125e-06]","[1, 1]","[1, 1]"
ToyModel,2,100,"[1e-07, 0.001, 10]","[1e-07, 0.001, 10]","[0.001, 10, 10]","[0.001, 10, 10]","[0.3333089765770164, 0.9900377152827822]","[4.1308769230156756e-09, 1.0007425061776296]",0.6567287387057658,1.0007425020467526,1.1969871309437126,0.9,11.360870089428026,0.01,0.2599224529390297,"[0.92740797996521, 0.9507541656494141]","[0.2686796536801579, 0.2686796536801579]","[74, 74]","[0.01, 0.01]","[1.2605037689208984, 1.2841339111328125]","[7.92945272708617e-06, 7.92945272708617e-06]","[8.106231689453125e-06, 6.9141387939453125e-06]","[1, 1]","[1, 1]"
